Tested Model,Body Type,Year Of Publication,Kerb Weight,VIN From Which Rating Applies,Class,Frontal Offset Deformable Barrier,Whiplash Rear Impact,AEB City,Lateral Impact,18 months old child,36 months old child,VRU Impact Protection,Crash Test Performance,Safety Features,CRS Installation Check,Speed Assistance,Electronic Stability Control,Seatbelt Reminder,Lane Support,AEB Inter-Urban,Head Impact,Pelvis Impact,Leg Impact,rating,Frontal Full Width,Frontal Impact,Lateral Impact.1,Crash Test Performance based on 6 & 10 year old children,AEB Pedestrian,Safety Pack Name,VRU Impact Mitigation,AEB Cyclist,Rear Impact,Frontal Impact.1,Rescue and Extrication,Occupant Status Monitoring,AEB Car-to-Car,Rescue and Extrication.1,Crash Test Performance based on 6 & 10 year old children.1,Safety Features.1,CRS Installation Check.1,Pedestrian & Cyclist Head,Pelvis,Femur,Knee & Tibia
"AUDI A3 Sportback e-tron 1.4 TFSI + e-Engine 'Ambition', RHD",- 5 door hatchback,2014,1607kg,- applies to all A3 Sportback e-trons of the specificiation tested,Small Family Car,14.7,2.3,0.0,14.2,12,12,24.1,24.0,4.0,10.7,0,3,3.0,1.0,2,18.0,0.1,6.0,5,,,,,,,,,,,,,,,,,,,,,
"BMW 2 Series Active Tourer 1.5 Base, LHD",- 5 door hatchback,2014,1320kg,- applies to all 2 Series of the specification tested,Small Family Car,11.3,2.5,2.1,16.0,12,12,21.7,24.0,6.0,12.0,1.3,3,3.0,0,1.8,14.9,2.0,4.9,5,,,,,,,,,,,,,,,,,,,,,
"Citroën Berlingo 1.6 diesel 'Confort', LHD",- 5 door hatchback,2014,1431kg,- VF7 7J9HP0 EJ713660,Small MPV,11.6,1.8,0.0,8.0,12,9.4,22.8,21.4,3.0,12.0,0,3,2.0,0,0,13.3,3.5,6.0,3,,,,,,,,,,,,,,,,,,,,,
"Toyota Aygo 1 x-play, LHD",- 5 door hatchback,2014,874kg,- applies to all C1s of the specification tested,City and Supermini,12.5,2.6,0.0,15.6,12,10.5,22.5,22.5,5.0,12.0,0,3,3.0,0,0,16.3,0.2,6.0,4,,,,,,,,,,,,,,,,,,,,,
"Citroën C4 CACTUS 1.2 'FEEL', LHD",- 5 door hatchback,2014,965kg,- applies to all C4 Cactus of the specification tested,Small Family Car,14.4,2.7,0.0,14.3,10.3,9.8,29.2,20.2,7.0,12.0,1.3,3,3.0,0,0,17.2,6.0,6.0,4,,,,,,,,,,,,,,,,,,,,,
"Citroën C-Elysée 1.2 Séduction, LHD",- 4 door saloon,2014,1087kg,- applies to all C-Elysées of the specification tested,Small Family Car,12,1.6,0.0,13.7,11.9,10.2,19.6,22.1,3.0,12.0,0,3,0.0,0,0,13.6,0.0,6.0,3,,,,,,,,,,,,,,,,,,,,,
"Dacia Logan MCV 1.5 diesel Base, LHD",- 5 door wagon,2014,1216kg,- applies to all Logan MCV of the specification tested,Small MPV,8.3,1.1,0.0,12.6,12,9.1,20.0,21.1,4.0,11.8,0,3,2.0,0,0,14.8,0.0,5.2,3,,,,,,,,,,,,,,,,,,,,,
"Ford Mondeo 2.0 diesel 'Trend/Wagon', LHD",- 5 door wagon,2014,1634kg,- applies to all Mondeos of the specification tested,Large Family Car,15.6,2.4,0.0,15.0,12,11.8,23.9,23.8,5.0,11.7,1.7,3,3.0,1.0,0,17.9,0.0,6.0,5,,,,,,,,,,,,,,,,,,,,,
"Ford Tourneo Courier 1.5 diesel 'Trend', LHD",-,2014,1329kg,- applies to all Tourneo Couriers of the specification tested,City and Supermini,15,1.8,0.0,15.4,12,10.6,26.9,22.6,7.0,11.8,0,3,3.0,0,0,16.3,4.6,6.0,4,,,,,,,,,,,,,,,,,,,,,
"Hyundai i10 1.0 petrol Comfort, LHD",- 5 door hatchback,2014,933kg,- applies to all Hyundai i10s of the specification tested,City and Supermini,14,1.9,0.0,14.1,12,9.4,25.7,21.4,6.0,12.0,1.3,3,3.0,0,0,16.0,3.7,6.0,4,,,,,,,,,,,,,,,,,,,,,
"Jeep Renegade 1.6 diesel Limited FW, LHD",- 5 door SUV,2014,1390kg,- applies to all Renegades of the specification tested,Small SUV,15.4,2.1,0.0,15.6,12,12,23.6,24.0,6.0,12.0,1.3,3,3.0,0,2.4,16.1,1.5,6.0,5,,,,,,,,,,,,,,,,,,,,,
"Kia Sorento 2.2 diesel GLS, LHD",- 5 door SUV,2014,1843kg,- applies to all Kia Sorentos of the specification tested,Large SUV,15.6,2.6,0.0,16.0,12,10,24.2,22.0,7.0,12.0,2.3,3,3.0,1.0,0,18.3,0.0,5.9,5,,,,,,,,,,,,,,,,,,,,,
"Kia Soul 1.6 diesel EX, LHD",- 5 door hatchback,2014,1386kg,- KNAJP816LF7778250,Small MPV,12.2,2.0,0.0,14.4,12,10.7,21.3,22.7,6.0,12.0,1.3,3,3.0,0,0,15.3,0.0,6.0,4,,,,,,,,,,,,,,,,,,,,,
"Soul EV 81.4kW EV 'SX', LHD",- 5 door wagon,2014,1513kg,- applies to all Soul EV's of the specification tested,Small MPV,15.6,2.0,0.0,14.5,12,11.4,21.3,23.4,5.0,12.0,1.3,3,3.0,0,0,15.3,0.0,6.0,4,,,,,,,,,,,,,,,,,,,,,
"Land Rover Discovery Sport 2.2 diesel SE, RHD",- 5 door hatchback,2014,1901kg,- applies to all Discovery Sports of the specification tested,Small SUV,14.9,2.2,2.8,15.7,12,11,25.1,23.0,6.0,12.0,1.3,3,3.0,1.0,2.5,19.2,0.0,5.9,5,,,,,,,,,,,,,,,,,,,,,
"Lexus NX 300h 'Executive', LHD",- 5 door SUV,2014,1809kg,- JTJBJRBZ 2009745,Small SUV,14.4,2.4,0.0,14.7,11.8,10.5,25.0,22.2,6.0,12.0,0,3,3.0,0,2.3,18.8,0.1,6.0,5,,,,,,,,,,,,,,,,,,,,,
Mercedes-Benz V-Class 2.2 diesel,- 8 seat van,2014,2205kg,"- all V-Class, Vito (M1) and EQV of the specification tested",Large MPV,15.8,3.7,Pts,14.4,12,12,20.1,24.0,7.0,12.0,1.0,3,2.0,0,0,14.1,0.0,6.0,5,,,,,,,,,,,,,,,,,,,,,
"Mercedes-Benz C-Class C220 'Avantgarde', LHD",- 4 door sedan,2014,1570kg,- C-Class (from VIN WDD2050041F058500) and C-Class Coupé,Large Family Car,15.5,2.1,2.8,14.7,12,8.6,27.7,20.6,9.0,12.0,1.3,3,3.0,0,1.8,21.0,0.8,5.9,5,,,,,,,,,,,,,,,,,,,,,
"Mercedes-Benz GLA200 CDI 'Urban' 4x2, LHD",- 5 door SUV,2014,1505kg,- WDC1569081J025585,Small SUV,15.4,2.7,3.0,15.7,12,10.1,24.4,22.1,9.0,12.0,0,3,3.0,0,1.8,18.4,0.0,6.0,5,,,,,,,,,,,,,,,,,,,,,
"MG3 1.5VTi-TECH 3Form Sport, RHD",- 5 door hatchback,2014,1150kg,- SDPZ1CBDAED029436,City and Supermini,10.7,1.2,0.0,14.4,12,9.8,21.5,21.8,2.0,11.2,0,3,2.0,0,0,16.4,0.0,5.1,3,,,,,,,,,,,,,,,,,,,,,
"MINI Cooper 1.5 Base, RHD",- 3 door hatchback,2014,1085kg,- applies to all MINI Coopers of the specification tested,City and Supermini,14.6,2.3,0.0,13.2,10.4,11,24.1,21.4,4.0,10.8,1.3,3,3.0,0,0,18.1,0.0,6.0,4,,,,,,,,,,,,,,,,,,,,,
"Nissan e-NV200 Evalia Electric Motor Ludo Combi, LHD",- 5 door MPV,2014,1641kg,- applies to all Evalia EV's of the specification tested,Small MPV,12.6,1.3,0.0,14.7,12,11.5,21.7,23.5,4.0,11.7,0.0,3,2.0,0,0,14.5,1.9,5.2,3,,,,,,,,,,,,,,,,,,,,,
